,P_LDPNT_D2,P_DSLPM_D2,P_CANCR_D2,P_RESP_D2,P_PTRAF_D2,P_PWDIS_D2,P_PNPL_D2,P_PRMP_D2,P_PTSDF_D2,P_OZONE_D2,P_PM25_D2
163,26.6198763413673,36.1396323771393,19.606958963745296,17.8027078178534,46.01296207195371,54.594483855746795,38.617913621484604,48.791065657047604,48.926189758615706,25.996321811161092,22.066725569584698
164,22.557618655968895,40.2728256538546,26.190752717534895,24.267788603326398,,36.6571663442036,44.76347912064671,51.254173261335,50.6741440565617,32.9313865480418,29.138371464481295
165,16.3618190589477,38.605404858446796,23.4928295169002,21.6287333278873,,44.923043969671795,42.8641719515828,48.9065831075523,51.208914526860504,30.225430700575895,26.310694694362397
166,7.911981078058929,41.18154684901649,25.9585587062434,25.740265073953296,29.8407037665164,,51.66140065710529,15.191446221129501,34.9254641482052,40.748340680169,35.4275985289489
167,41.7179183462507,24.4344876652886,19.2220336464232,19.042056451227495,13.345102412244302,,49.0886475676409,30.666593942625603,7.84299425026642,34.8070985964649,28.4360831900717
168,62.9231204349936,49.5464817664841,50.812982693016004,50.695119710589,36.860322930812494,,56.425433957627,48.796080347753,25.6167906466046,55.0839598182336,53.9910346181693
169,80.0730154087919,78.9198621382642,84.41914218832558,84.09903561204598,85.8485519884167,,66.2112402348662,75.60615519764409,87.66804632802298,78.37446281977637,80.5792511063318
170,69.6934559112472,67.56509758549889,68.6350164095599,68.4827003405385,77.42850103675251,,61.1889480765407,65.97684574412021,78.43992463031749,65.8549715500282,67.0078660003498
171,46.1314561978306,47.573949877569895,48.9425805111254,48.7318818747049,39.8816425987626,,56.0124169095261,45.0050074044809,24.5805837260949,54.149799165298795,52.8092208414612
172,75.6918082733232,68.4167328380783,69.6934924357734,69.4834154353749,76.3419587981205,,61.5128896574579,68.4148963574798,80.59569745329868,66.56740620587921,67.8436861856483
173,46.2897404330362,28.109718727382692,21.0710008182943,20.8367364145434,6.24543792892958,,49.5638365370944,18.3206184040118,12.6052968438069,36.6198271820666,30.3338102756825
174,20.6933240824093,26.880625411569,19.520749114393496,19.3293013779085,13.214380592695802,,48.9505309313311,10.675644531041199,10.956975112226301,35.13758520828111,28.7519200839423
175,11.8393262367782,15.2132346461505,7.56593263261224,7.55001856752713,7.11016734706084,22.3878938170324,43.13843672411809,4.92461742184096,7.003783672395099,20.1204638329325,13.8964354697938
176,27.8646924441016,38.790747818226,22.033598253224092,21.846066915139197,36.6114229736649,,50.7308439927801,21.886555544405,37.17645786576631,37.4498511624807,31.532602793662896
177,67.9304005318127,86.3154344892049,94.6279653985622,94.3273944735887,92.43561633000868,87.43054670642479,71.1850387579283,87.80311402994492,86.3638548117992,89.66765757948748,91.4080230506837
178,65.9390799312919,64.8981854554274,68.2158849527635,68.06934256838329,67.51565138766361,83.06460061957041,61.2222186851345,73.68500551262339,67.2565802397065,65.5449541140704,66.67639159988629
179,62.9231204349936,4.27578572666682,0.7273921931387449,0.789421346343808,7.673074580218509,,29.956571784637397,1.88015445893682,1.9594508371936001,2.64314941770092,1.47500377109864
180,65.7395324954671,75.5963450545768,85.31887908141279,84.94320452515662,75.86361379311957,74.27221178733181,66.7053791805834,75.3416914641684,76.7842331417235,79.1288840738654,81.38956178933148
181,76.3847154251587,72.96789478601491,81.1669784932991,80.76724884856709,67.8877930279178,71.4129579690648,65.16079560474941,73.4394533426793,79.165498457238,75.40596756978259,77.5407093636439
182,66.6052631015753,69.8562997940476,75.4507276548412,75.2489523458978,62.2338385597174,80.0238069554931,63.4650539652241,71.0430592031476,72.97912949078898,70.7892471287308,72.5687899222913
183,69.4373149363744,74.1584841678467,83.19431496022878,82.83205237644759,80.3562532946336,87.13028127851999,66.051984096568,78.28333390881298,79.7434359972943,77.18423826766819,79.4027864562817
184,62.9231204349936,61.939306830714294,63.5939946057908,63.5180855000745,59.4432936214526,77.21257226642739,59.8105699900068,61.744700129818604,65.4961975937765,62.3807905206816,63.045826203399294
